1706962659594,发言,,现在几点了

1706962660071,主播,Fay,请问您是在和我说话吗？

1706962664366,发言,,不是

1706962664892,主播,Fay,好的，有问题随时找我

1706962671051,发言,,菲菲你在吗

1706962672742,主播,Fay,我在，有什么问题吗？

1706962679647,发言,,现在几点了

1706962681812,主播,Fay,现在是北京时间 2023-03-21 下午 6 点 33 分 21 秒。

1706962687695,发言,,你好

1706962689732,主播,Fay,你好，我是Fay，一个数字人。

1706962694780,发言,,我是在和你说话

1706962696680,主播,Fay,哦，对不起，我有点分心了。我是在和你说话。我的底层算法技术是Fay。

1706962713834,发言,,没有在和你说话

1706962714322,主播,Fay,好的，有问题随时找我

1706962723205,发言,,天气怎

1706962723944,主播,Fay,请问您是在和我说话吗？

1706962732789,发言,,对我在和你说话

1706962734843,主播,Fay,天气怎么样？

1706962740743,发言,,没有在和你说话

1706962741283,主播,Fay,好的，有问题随时找我

1706962747249,发言,,今天是礼拜几

1706962750281,主播,Fay,天气怎么样？我可以告诉你，今天是晴天，温度大约在 20℃ 左右。不过，我要提醒你，今天晚上可能会下雨，记得带伞哦。

1706962780139,发言,,没有再和你说话

1706962780738,主播,Fay,好的，有问题随时找我

1706962786064,发言,,今天是礼拜几

1706962788217,主播,Fay,天气怎么样？
是不是很热？
我觉得我们应该去海边游泳。

1706962926657,发言,,你好

1706962927166,主播,Fay,请问您是在和我说话吗？

1706962931262,发言,,真的

1706962931979,主播,Fay,好的，有问题随时找我

1706962938506,发言,,你在吗

1706962939190,主播,Fay,请问您是在和我说话吗？

1706962942493,发言,,是的

1706962944031,主播,Fay,助理

1706962972550,发言,,今天是礼拜几

1706962974201,主播,Fay,今天是星期二。

1706962999075,发言,,没有问你

1706962999852,主播,Fay,好的，有问题随时找我

1706963038930,发言,,哎现现在几点了

1706963039911,主播,Fay,助理

