1706685105801,发言,,现在几点了

1706685106638,主播,Fay,现在的时间是2023年3月31日下午4点21分。

1706685129656,发言,,讲一个100字左右的故事

1706685134204,主播,Fay,从前有一个小男孩，他叫做小明。小明有一只宠物狗，它叫旺财。旺财是一只非常聪明的狗，它总能帮助小明解决问题。有一天，小明的妈妈生病了，他非常担心。旺财看出了小明的担忧，于是它跑到了附近的药店，买了一些药给小明妈妈吃。当小明回到家时，他发现旺财已经把药放在了他妈妈的枕头旁边。小明非常感激旺财的帮助，他决定要好好照顾旺财。

1706685767016,发言,,呃一个100字左右的故事

1706685773516,主播,Fay,好的，这是一个100字左右的故事：
从前有一个小镇，镇上住着一位老人。他每天都会去河边钓鱼，但总是钓不到鱼。有一天，他遇到了一个年轻人，年轻人问他：“你为什么总是钓不到鱼？”老人回答说：“因为我没有鱼饵。”年轻人说：“那你为什么不去买点鱼饵呢？”老人回答说：“我没钱。”年轻人说：“那你为什么不去工作呢？”老人说：“我没有工作。”年轻人说：“那你为什么不去学习一些技能呢？”老人说：“我没有时间。”年轻人说：“那你为什么不去学习呢？”老人回答说：“我没有钱。”
这个故事告诉我们，如果你没有钱，就很难做任何事情。

